,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent
10,seed_10,161.73573163818742,18.720106578752706,54.08,12.32,5.28,1.52,25,360,500,0.7
11,seed_11,179.6314742292452,19.292672991943093,64.72,18.24,4.64,1.28,25,360,500,0.7
12,seed_12,155.18787964880732,18.294582490931884,46.8,10.64,5.12,1.2,25,360,500,0.7
13,seed_13,195.1296430036942,19.13872243995161,57.76,12.56,4.16,0.96,25,360,500,0.7
14,seed_14,166.6804584382401,18.77172725019884,45.04,8.16,3.04,0.64,25,360,500,0.7
15,seed_15,195.36030433101877,19.614972109720835,57.12,16.32,5.12,0.88,25,360,500,0.7
16,seed_16,157.28977990274086,18.742642403841344,54.8,12.64,3.52,0.88,25,360,500,0.7
17,seed_17,171.05678473817676,19.09397087849077,35.68,8.48,3.6,1.36,25,360,500,0.7
18,seed_18,153.9911834287011,18.78678681461968,52.64,15.36,7.28,0.88,25,360,500,0.7
19,seed_19,165.33885986958094,18.898330885919165,50.16,13.68,5.6,0.72,25,360,500,0.7
0,seed_0,157.2170357472825,18.307288791413683,47.76,11.44,4.0,0.64,25,360,500,0.8
1,seed_1,127.1762136505272,18.29549686913092,60.32,14.64,5.92,0.72,25,360,500,0.8
2,seed_2,142.18022164562683,18.183284859931227,49.68,12.0,3.84,1.12,25,360,500,0.8
3,seed_3,125.05210715114552,18.637593189088797,67.84,15.92,5.92,1.68,25,360,500,0.8
4,seed_4,136.1667536201613,18.73924867339505,64.64,20.72,9.84,3.12,25,360,500,0.8
5,seed_5,141.06082690983047,19.126974542682827,68.88,15.92,4.08,1.28,25,360,500,0.8
6,seed_6,136.67106619621833,18.24728960844388,57.36,12.8,5.6,0.88,25,360,500,0.8
7,seed_7,156.73998153137893,18.85670576025669,68.8,13.84,5.44,1.68,25,360,500,0.8
8,seed_8,123.34430826916092,18.29310222311505,58.24,14.08,6.08,2.24,25,360,500,0.8
9,seed_9,136.99937694102584,18.77060609529183,56.4,14.8,6.08,1.44,25,360,500,0.8
10,seed_10,135.14149146413783,18.554819690543585,50.16,13.2,6.08,2.24,25,360,500,0.8
11,seed_11,143.57389747927922,18.795725666997704,75.52,16.4,5.92,1.44,25,360,500,0.8
12,seed_12,129.847378516216,18.36318076095161,57.2,11.12,3.6,0.8,25,360,500,0.8
13,seed_13,153.3670496068456,18.5136224832858,49.12,12.72,5.2,1.92,25,360,500,0.8
14,seed_14,136.1217393136065,18.190819944283163,42.56,10.16,3.36,0.24,25,360,500,0.8
15,seed_15,185.53104044323308,19.46730651101379,55.36,13.28,5.52,2.08,25,360,500,0.8
16,seed_16,132.45272589719244,18.59965951346249,51.84,13.76,4.64,1.28,25,360,500,0.8
17,seed_17,146.62052525804384,19.26318437206965,38.48,7.84,2.64,0.4,25,360,500,0.8
18,seed_18,142.30289021734652,18.74638053545932,63.84,18.24,7.52,1.52,25,360,500,0.8
19,seed_19,147.7038073467699,18.80345755252191,48.48,12.0,4.56,1.12,25,360,500,0.8
0,seed_0,114.1128677387262,18.29771717686048,57.12,13.04,5.28,0.8,25,360,500,0.9
1,seed_1,102.72517385868532,18.549386754187083,68.88,20.8,6.4,0.56,25,360,500,0.9
2,seed_2,114.47154760929858,18.312586607811006,56.16,14.88,6.64,2.16,25,360,500,0.9
3,seed_3,117.52736679121342,18.43300894453221,66.64,16.32,6.16,2.08,25,360,500,0.9
4,seed_4,96.56604851483722,18.43274892724685,72.4,16.72,5.52,1.52,25,360,500,0.9
5,seed_5,127.17956817596078,18.4124205251755,66.56,17.04,6.8,1.6,25,360,500,0.9
6,seed_6,104.073425238985,18.367412600492468,69.12,16.72,6.24,0.64,25,360,500,0.9
7,seed_7,118.8894343444552,18.586623298809997,49.44,9.44,4.08,1.04,25,360,500,0.9
8,seed_8,116.79471632202252,18.338972316834717,62.56,20.8,8.32,2.88,25,360,500,0.9
9,seed_9,127.96588574029542,18.16894774207857,59.12,14.0,5.04,1.2,25,360,500,0.9
10,seed_10,114.75078536986206,18.347364246806027,45.28,10.0,2.8,1.28,25,360,500,0.9
11,seed_11,119.55292172395416,19.095777453079613,77.36,19.36,5.28,1.68,25,360,500,0.9
12,seed_12,117.6033974331145,18.05228110934669,54.64,12.24,4.56,1.04,25,360,500,0.9
13,seed_13,133.76259046181448,18.585089727544368,60.88,8.0,2.64,0.32,25,360,500,0.9
14,seed_14,114.97386171299352,18.466328878767023,50.96,10.08,2.88,0.56,25,360,500,0.9
15,seed_15,120.85730856680703,19.15426871597467,67.68,16.08,6.88,2.48,25,360,500,0.9
16,seed_16,110.34625653021833,18.444815997806028,69.04,14.0,4.72,1.12,25,360,500,0.9
17,seed_17,113.43694374255588,18.87685069962186,59.12,16.16,8.4,2.96,25,360,500,0.9
18,seed_18,123.23430430479166,18.53795560747897,70.24,21.44,9.6,2.8,25,360,500,0.9
19,seed_19,129.78563089851897,18.54277722654663,54.72,13.44,3.68,0.48,25,360,500,0.9
0,seed_0,87.19600801564361,18.300067073794896,77.04,18.08,5.92,0.48,25,360,500,1.0
1,seed_1,84.71426529401495,18.16632276160844,83.44,22.32,8.24,1.92,25,360,500,1.0
